"orig_name","canonical_name","corporation_name","beneficiary","city","state","price_mean","bidder_num","auction","institutional"
"Robert M. Strebright","Robert M Strebright ",,"","New York","NY",90.25,63,"1861-02-13; Loan of Feb 1861",FALSE
"R.R. Fairchild","R R Fairchild ",,"","New York","NY",90.2,64,"1861-02-13; Loan of Feb 1861",FALSE
"F.P. James & Co.",,"F P James & Co","","New York","NY",90.17,65,"1861-02-13; Loan of Feb 1861",TRUE
"Read, Drexel & Co",,"Read, Drexel & Co","","New York","NY",90.15,66,"1861-02-13; Loan of Feb 1861",TRUE
"Sweeny, Rittenhouse, Fant & Co",,"Sweeny, Rittenhouse, Fant & Co","","Washington","DC",90.15,67,"1861-02-13; Loan of Feb 1861",TRUE
"Ketchum, So & Co. (self and others)",,"Ketchum, Son & Co","self and others","New York","NY",90.1473812849,68,"1861-02-13; Loan of Feb 1861",TRUE
"Trevor & Colgate",,"Trevor & Colgate","","New York","NY",90.125,69,"1861-02-13; Loan of Feb 1861",TRUE
"Read & Lathrop",,"Read & Lathrop","","New York","NY",90.1,70,"1861-02-13; Loan of Feb 1861",TRUE
"Surette & Whitney",,"Surette & Whitney","","Boston","MA",90.1,71,"1861-02-13; Loan of Feb 1861",TRUE
"William R. Merrill, in trust","William R Merrill ",,"","New York","NY",90.1,72,"1861-02-13; Loan of Feb 1861",FALSE
"C.F. Knowlson","C F Knowlson ",,"","New York","NY",90.0485714286,73,"1861-02-13; Loan of Feb 1861",FALSE
"A. Hamilton","A Hamilton ",,"","Brooklyn","NY",90,74,"1861-02-13; Loan of Feb 1861",FALSE
"Bank of Commerce",,"Bank of Commerce","","New York","NY",90,75,"1861-02-13; Loan of Feb 1861",TRUE
"Benjamin C. White","Benjamin C White ",,"","Boston","MA",90,76,"1861-02-13; Loan of Feb 1861",FALSE
"Carpenter & Vermilye",,"Carpenter & Vermilye","","New York","NY",90,77,"1861-02-13; Loan of Feb 1861",TRUE
"City Fire Insurance Company",,"City Fire Insurance Company","","Boston","MA",90,78,"1861-02-13; Loan of Feb 1861",TRUE
"Edgar S. Tweedy","Edgar S Tweedy ",,"","New York","NY",90,79,"1861-02-13; Loan of Feb 1861",FALSE
"Eliza D. Delavan","Eliza D Delavan ",,"","New York","NY",90,80,"1861-02-13; Loan of Feb 1861",FALSE
"Evander Childs","Evander Childs ",,"","New York","NY",90,81,"1861-02-13; Loan of Feb 1861",FALSE
"Francis Leland","Francis Leland ",,"","New York","NY",90,82,"1861-02-13; Loan of Feb 1861",FALSE
"Hewlett & Torrance",,"Hewlett & Torrance","","New York","NY",90,83,"1861-02-13; Loan of Feb 1861",TRUE
"Howland & Aspinwall",,"Howland & Aspinwall","","New York","NY",90,84,"1861-02-13; Loan of Feb 1861",TRUE
"J.G. Whitney & Co",,"J G Whitney & Co","","Boston","MA",90,85,"1861-02-13; Loan of Feb 1861",TRUE
"J.T. & J.G. Frost & Co.",,"J T & J G Frost & Co","","New York","NY",90,86,"1861-02-13; Loan of Feb 1861",TRUE
"J.T. Van Vleck","J T Van Vleck ",,"","New York","NY",90,87,"1861-02-13; Loan of Feb 1861",FALSE
"John Hooper & Co.",,"John Hooper & Co","","New York","NY",90,88,"1861-02-13; Loan of Feb 1861",TRUE
"Otis Norcross","Otis Norcross ",,"","Boston","MA",90,89,"1861-02-13; Loan of Feb 1861",FALSE
"S.A. Holbrook","S A Holbrook ",,"","Freeport, Me","",90,90,"1861-02-13; Loan of Feb 1861",FALSE
"Thomas Pittis","Thomas Pittis ",,"","Troy","NY",90,91,"1861-02-13; Loan of Feb 1861",FALSE
"W.L. Newberry","W L Newberry ",,"","Chicago","",90,92,"1861-02-13; Loan of Feb 1861",FALSE
"William J. Schenck","William J Schenck ",,"","New York","NY",90,93,"1861-02-13; Loan of Feb 1861",FALSE
"Satterlee & Co",,"Satterlee & Co","","New York","NY",89.6685062241,94,"1861-02-13; Loan of Feb 1861",TRUE
"A.D. Williams","A D Williams ",,"","New York","NY",89.55,95,"1861-02-13; Loan of Feb 1861",FALSE
"John P. Elton","John P Elton ",,"","Waterbury","CT",89.478,96,"1861-02-13; Loan of Feb 1861",FALSE
"Ward & Co. (for others)",,"Ward & Co","others","New York","NY",89.375,97,"1861-02-13; Loan of Feb 1861",TRUE
"Clark, Dodge & Co.",,"Clark, Dodge & Co","","New York","NY",89.3088235294,98,"1861-02-13; Loan of Feb 1861",TRUE
"James H. Van Allen","James H Van Allen ",,"","New York","NY",89.25,99,"1861-02-13; Loan of Feb 1861",FALSE
"John W. Champlin","John W Champlin ",,"","Mabbettsville","NY",89.25,100,"1861-02-13; Loan of Feb 1861",FALSE
"Hewlett Scudder","Hewlett Scudder ",,"","New York","NY",89.2,101,"1861-02-13; Loan of Feb 1861",FALSE
"Samuel C. Thompson","Samuel C Thompson ",,"","New York","NY",89.2,102,"1861-02-13; Loan of Feb 1861",FALSE
"Timothy C. Leeds","Timothy C Leeds ",,"","New York","NY",89.06,103,"1861-02-13; Loan of Feb 1861",FALSE
"William Tilden","William Tilden ",,"","New York","NY",89.028,104,"1861-02-13; Loan of Feb 1861",FALSE
"George W. Cuyler","George W Cuyler ",,"","Palmyra","NY",89,105,"1861-02-13; Loan of Feb 1861",FALSE
"Field & McLean",,"Field & McLean","","New York","NY",88.875,106,"1861-02-13; Loan of Feb 1861",TRUE
"J. Ludlow Dumont","J Ludlow Dumont ",,"","New York","NY",88.8333333333,107,"1861-02-13; Loan of Feb 1861",FALSE
"J.N. Phelps","J N Phelps ",,"","New York","NY",88.806,108,"1861-02-13; Loan of Feb 1861",FALSE
"Otis Daniell","Otis Daniell ",,"","Boston","MA",88.78125,109,"1861-02-13; Loan of Feb 1861",FALSE
"McKim & Co",,"McKim & Co","","Baltimore","MD",88.7666666667,110,"1861-02-13; Loan of Feb 1861",TRUE
"S.H. Alden, president",,"S H Alden, president","","Albany","NY",88.765,111,"1861-02-13; Loan of Feb 1861",TRUE
"Edward J. King","Edward J King ",,"","New York","NY",88.5714285714,112,"1861-02-13; Loan of Feb 1861",FALSE
"Eugene Thompson","Eugene Thompson ",,"","New York","NY",88.5,113,"1861-02-13; Loan of Feb 1861",FALSE
"Parker Owen","Parker Owen ",,"","Philadelphia","PA",88.5,114,"1861-02-13; Loan of Feb 1861",FALSE
"Rufus H. King","Rufus H King ",,"","Albany","NY",88.4366666667,115,"1861-02-13; Loan of Feb 1861",FALSE
"Third Avenue Savings Bank",,"Third Avenue Savings Bank","","New York","NY",88.375,116,"1861-02-13; Loan of Feb 1861",TRUE
"Francis T. Walker & Bro",,"Francis T Walker & Bro","","New York","NY",88.12875,117,"1861-02-13; Loan of Feb 1861",TRUE
"Charles H. Delavan","Charles H Delavan ",,"","New York","NY",88,118,"1861-02-13; Loan of Feb 1861",FALSE
"Samuel Bobke","Samuel Bobke ",,"","New York","NY",88,119,"1861-02-13; Loan of Feb 1861",FALSE
"Spencer K. Green","Spencer K Green ",,"","New York","NY",88,120,"1861-02-13; Loan of Feb 1861",FALSE
"Thomas Griswold","Thomas Griswold ",,"","New York","NY",88,121,"1861-02-13; Loan of Feb 1861",FALSE
"W.H. Slocum","William H Slocum ",,"","New York","NY",88,122,"1861-02-13; Loan of Feb 1861",FALSE
"A.J. Glossbrenner","A J Glossbrenner ",,"","Washington","DC",87.7516666667,123,"1861-02-13; Loan of Feb 1861",FALSE
"Abraham T. Lowe","Abraham T Lowe ",,"","Boston","MA",87.55,124,"1861-02-13; Loan of Feb 1861",FALSE
"Amos P Tapley","Amos P Tapley ",,"","Boston","MA",87.5,125,"1861-02-13; Loan of Feb 1861",FALSE
"Charles Aug Davis","Charles Aug Davis ",,"","New York","NY",87.5,126,"1861-02-13; Loan of Feb 1861",FALSE
"G.A. Stone","George A Stone ",,"","Troy","NY",87.5,127,"1861-02-13; Loan of Feb 1861",FALSE
"William Barton & Son",,"William Barton & Son","","New York","NY",87.5,128,"1861-02-13; Loan of Feb 1861",TRUE
"Brewster, Sweet & Co",,"Brewster, Sweet & Co","","Boston","MA",87.2666666667,129,"1861-02-13; Loan of Feb 1861",TRUE
"George Field, cashier",,"George Field, cashier","","New York","NY",87,130,"1861-02-13; Loan of Feb 1861",TRUE
"R.W. Howes","R W Howes ",,"","New York","NY",86.8,131,"1861-02-13; Loan of Feb 1861",FALSE
"A.V. Stout","A V Stout ",,"","New York","NY",86.775,132,"1861-02-13; Loan of Feb 1861",FALSE
"Wm. McBride","William McBride ",,"","New York","NY",86.73046875,133,"1861-02-13; Loan of Feb 1861",FALSE
"Taylor Brothers",,"Taylor Brothers","","New York","NY",86.5,134,"1861-02-13; Loan of Feb 1861",TRUE
"M. Tuska","M Tuska ",,"","New York","NY",86.375,135,"1861-02-13; Loan of Feb 1861",FALSE
"Juan Clemente Las Casas","Juan Clemente Las Casas ",,"","New York","NY",86.2666666667,136,"1861-02-13; Loan of Feb 1861",FALSE
"Thomas H. Dudley","Thomas H Dudley ",,"","Camden","NJ",86.25,137,"1861-02-13; Loan of Feb 1861",FALSE
"Gilbert Oakley","Gilbert Oakley ",,"","New York","NY",86.2,138,"1861-02-13; Loan of Feb 1861",FALSE
"William J. Palmer, attorney","William J Palmer ",,"","Philadelphia","PA",85,139,"1861-02-13; Loan of Feb 1861",FALSE
"A.F. Shriver","A F Shriver ",,"","Washington","DC",84.1666666667,140,"1861-02-13; Loan of Feb 1861",FALSE
"John G. Watmough, Jr.","John G Watmough Jr.",,"","Philadelphia","PA",83.5,141,"1861-02-13; Loan of Feb 1861",FALSE
"Wm. J. Emmet","William J Emmet ",,"","New York","NY",82.8,142,"1861-02-13; Loan of Feb 1861",FALSE
"G.W. Tew","G W Tew ",,"","Silver Creek","NY",82.5,143,"1861-02-13; Loan of Feb 1861",FALSE
"J.S. & W. Brown",,"J S & W Brown","","New York","NY",82.5,144,"1861-02-13; Loan of Feb 1861",TRUE
"Washington Mills","Washington Mills ",,"","New York","NY",81.61,145,"1861-02-13; Loan of Feb 1861",FALSE
"Buffalo Savings Bank",,"Buffalo Savings Bank","","Buffalo","NY",81.4,146,"1861-02-13; Loan of Feb 1861",TRUE
"Thomas F. Andrews","Thomas F Andrews ",,"","Washington","DC",80.25,147,"1861-02-13; Loan of Feb 1861",FALSE
"G.A. Burbank","GA Burbank ",,"","Danville","VT",80,148,"1861-02-13; Loan of Feb 1861",FALSE
"Joseph Woodbridge","Joseph Woodbridge ",,"","Brooklyn","NY",80,149,"1861-02-13; Loan of Feb 1861",FALSE
"Townsend & Co",,"Townsend & Co","","Boston","MA",78,150,"1861-02-13; Loan of Feb 1861",TRUE
"S.S. White","Samuel S White ",,"","Philadelphia","PA",100,1,"1861-03-22; Loan of Feb 1861",FALSE
"Robert J. Wright","Robert J Wright ",,"","Philadelphia","PA",94.5,2,"1861-03-22; Loan of Feb 1861",FALSE
"G.S. Pepper","G S Pepper ",,"","Philadelphia","PA",94.25,3,"1861-03-22; Loan of Feb 1861",FALSE
"Bank of Commerce",,"Bank of Commerce","","New York","NY",94,4,"1861-03-22; Loan of Feb 1861",TRUE
"F.R. James & Co",,"F P James & Co","","New York","NY",94,5,"1861-03-22; Loan of Feb 1861",TRUE
"J. Vincent Brown","J Vincent Brown ",,"","Salem","MA",94,6,"1861-03-22; Loan of Feb 1861",FALSE
"John A. Dix","John A Dix ",,"","New York","NY",94,7,"1861-03-22; Loan of Feb 1861",FALSE
"Phillip R. Kearney","Phillip R Kearney ",,"","New York","NY",94,8,"1861-03-22; Loan of Feb 1861",FALSE
"William Beals, Jr. ",,,"","Boston","MA",94,9,"1861-03-22; Loan of Feb 1861",FALSE
"J. T. Van Vleck","J T Van Vleck ",,"","New York","NY",93.85,10,"1861-03-22; Loan of Feb 1861",FALSE
"Bank of America",,"Bank of America","","New York","NY",93.8,11,"1861-03-22; Loan of Feb 1861",TRUE
"Peter Murray","Peter Murray ",,"","New York","NY",93.8,12,"1861-03-22; Loan of Feb 1861",FALSE
"James Gallatin","James Gallatin ",,"","New York","NY",93.75,13,"1861-03-22; Loan of Feb 1861",FALSE
"Nathaniel Jewett","Nathaniel Jewett ",,"","Washington","DC",93.75,14,"1861-03-22; Loan of Feb 1861",FALSE
"Samuel C. Thompson","Samuel C Thompson ",,"","New York","NY",93.75,15,"1861-03-22; Loan of Feb 1861",FALSE
"C.E. Brewer","Charles E Brewer ",,"","New York","NY",93.58,16,"1861-03-22; Loan of Feb 1861",FALSE
"A.M. Lyon","A M Lyon ",,"","New York","NY",93.57,17,"1861-03-22; Loan of Feb 1861",FALSE
"Amos P. Tapley","Amos P Tapley ",,"","Boston","MA",93.555,18,"1861-03-22; Loan of Feb 1861",FALSE
"J.W. Walcott & Co",,"J W Walcott & Co","","Boston","MA",93.525,19,"1861-03-22; Loan of Feb 1861",TRUE
"George A. Stone","George A Stone ",,"","Troy","NY",93.509,20,"1861-03-22; Loan of Feb 1861",FALSE
"A.W. Nicholson","A W Nicholson ",,"","New York","NY",93.5,21,"1861-03-22; Loan of Feb 1861",FALSE
"B. Usher","B Usher ",,"","New York","NY",93.5,22,"1861-03-22; Loan of Feb 1861",FALSE
"Eliza D. Delavan","Eliza D Delavan ",,"","New York","NY",93.5,23,"1861-03-22; Loan of Feb 1861",FALSE
"J.H. Barringer","J H Barringer ",,"","New York","NY",93.5,24,"1861-03-22; Loan of Feb 1861",FALSE
"Mechanics and Traders' Bank",,"Mechanics’ and Traders' Bank","","Jersey City","NJ",93.5,25,"1861-03-22; Loan of Feb 1861",TRUE
"W.C. Dougherty","W C Dougherty ",,"","New York","NY",93.5,26,"1861-03-22; Loan of Feb 1861",FALSE
"W.S.W. Hale","W SW Hale ",,"","New York","NY",93.47,27,"1861-03-22; Loan of Feb 1861",FALSE
"William Beals, Jr.","William Beals Jr.",,"","Boston","MA",93.47,28,"1861-03-22; Loan of Feb 1861",FALSE
"William Beals, Jr.","William Beals Jr.",,"","Boston","MA",93.47,28,"1861-03-22; Loan of Feb 1861",FALSE
"Samuel S. Day","Samuel S Day ",,"","Springfield","MA",93.4583333333,29,"1861-03-22; Loan of Feb 1861",FALSE
"Charles H. Delevan","Charles H Delevan ",,"","New York","NY",93.4375,30,"1861-03-22; Loan of Feb 1861",FALSE
"Bank of Milwaukie, by J.C. Van Vleeck",,"Bank of Milwaukie, by J C Van Vleeck","","New York","NY",93.425,31,"1861-03-22; Loan of Feb 1861",TRUE
"W. Anthons & Le Roys",,"W Anthons & Le Roys","","New York","NY",93.41375,32,"1861-03-22; Loan of Feb 1861",TRUE
"F.L. Richardson","F L Richardson ",,"","New York","NY",93.41,33,"1861-03-22; Loan of Feb 1861",FALSE
"Bank North America",,"Bank North America","","New York","NY",93.385,34,"1861-03-22; Loan of Feb 1861",TRUE
"A.R. Corbin","Abel Rathburn Corbin ",,"","Washington","DC",93.375,35,"1861-03-22; Loan of Feb 1861",FALSE
"William H. Marston","William H Marston ",,"","New York","NY",93.36,36,"1861-03-22; Loan of Feb 1861",FALSE
"Drexel & Co.",,"Drexel & Co","","Philadelphia","PA",93.33,37,"1861-03-22; Loan of Feb 1861",TRUE
"Sweeny, Rittenhouse, Fant & Co",,"Sweeny, Rittenhouse, Fant & Co","","Washington","DC",93.33,38,"1861-03-22; Loan of Feb 1861",TRUE
"E.L. Bolles","E L Bolles ",,"","New York","NY",93.3,39,"1861-03-22; Loan of Feb 1861",FALSE
"W.C. Bestor","W C Bestor ",,"","Washington","DC",93.3,40,"1861-03-22; Loan of Feb 1861",FALSE
"William L. Abbott","William L Abbott ",,"","Philadelphia","PA",93.2866666667,41,"1861-03-22; Loan of Feb 1861",FALSE
"A. Griffing Waterbury","A Griffing Waterbury ",,"","New York","NY",93.27,42,"1861-03-22; Loan of Feb 1861",FALSE
"Dater & Timpson",,"Dater & Timpson","","New York","NY",93.2681818182,43,"1861-03-22; Loan of Feb 1861",TRUE
"Van Antwerp & Co",,"Van Antwerp & Co","","New York","NY",93.267,44,"1861-03-22; Loan of Feb 1861",TRUE
"Cammann & Co",,"Cammann & Co","","New York","NY",93.26,45,"1861-03-22; Loan of Feb 1861",TRUE
"Henry M. Barnes","Henry M Barnes ",,"","Philadelphia","PA",93.25,46,"1861-03-22; Loan of Feb 1861",FALSE
"Samuel C. Moore","Samuel C Moore ",,"","New York","NY",93.25,47,"1861-03-22; Loan of Feb 1861",FALSE
"Thomas J. Tash","Thomas J Tash ",,"","Philadelphia","PA",93.25,48,"1861-03-22; Loan of Feb 1861",FALSE
"C.R. Robert","C R Robert ",,"","New York","NY",93.234,49,"1861-03-22; Loan of Feb 1861",FALSE
"Henry Keep","Henry Keep ",,"","New York","NY",93.208,50,"1861-03-22; Loan of Feb 1861",FALSE
"George w. Cuyler, president",,"George w Cuyler, president","","Elmira","NY",93.2,51,"1861-03-22; Loan of Feb 1861",TRUE
"J.M. Williams","J M Williams ",,"","New York","NY",93.192,52,"1861-03-22; Loan of Feb 1861",FALSE
"Thomas Pinckney","Thomas Pinckney ",,"","New York","NY",93.18,53,"1861-03-22; Loan of Feb 1861",FALSE
"Allan Melville","Allan Melville ",,"","New York","NY",93.17,54,"1861-03-22; Loan of Feb 1861",FALSE
"Field & McLean",,"Field & McLean","","New York","NY",93.17,55,"1861-03-22; Loan of Feb 1861",TRUE
"Merritt, Strang & Co",,"Merritt, Strang & Co","","New York","NY",93.17,56,"1861-03-22; Loan of Feb 1861",TRUE
"Park & Dalton",,"Park & Dalton","","New York","NY",93.17,57,"1861-03-22; Loan of Feb 1861",TRUE
"Read, Drexel & Co",,"Read, Drexel & Co","","New York","NY",93.17,58,"1861-03-22; Loan of Feb 1861",TRUE
"S.E. Darling & Co",,"S E Darling & Co","","New York","NY",93.17,59,"1861-03-22; Loan of Feb 1861",TRUE
"Wm & John O'Brien",,"William & John O'Brien","","New York","NY",93.17,60,"1861-03-22; Loan of Feb 1861",TRUE
"E. Whitehouse, Son & Morison",,"E Whitehouse, Son & Morrison","","New York","NY",93.1611111111,61,"1861-03-22; Loan of Feb 1861",TRUE
"J. Van Schaick","Jenkins Van Schaick ",,"","New York","NY",93.157,62,"1861-03-22; Loan of Feb 1861",FALSE
"A Benson & Co",,"A Benson & Co","","Philadelphia","PA",93.13,63,"1861-03-22; Loan of Feb 1861",TRUE
"A.S. Beckwith","A S Beckwith ",,"","Hartford","CT",93.13,64,"1861-03-22; Loan of Feb 1861",FALSE
"A.V. Stout","A V Stout ",,"","New York","NY",93.13,65,"1861-03-22; Loan of Feb 1861",FALSE
"Account of Etna Insurance Company",,"Account of Etna Insurance Company","","New York","NY",93.13,66,"1861-03-22; Loan of Feb 1861",TRUE
"Bridgeport Savings Bank",,"Bridgeport Savings Bank","","Bridgeport","CT",93.13,67,"1861-03-22; Loan of Feb 1861",TRUE
"C. Spooner","C Spooner ",,"","Bridgeport","CT",93.13,68,"1861-03-22; Loan of Feb 1861",FALSE
"Charles Rushmore","Charles Rushmore ",,"","New York","NY",93.13,69,"1861-03-22; Loan of Feb 1861",FALSE
"Connecticut Mutual Live Insurance Company",,"Connecticut Mutual Live Insurance Company","","Hartford","CT",93.13,70,"1861-03-22; Loan of Feb 1861",TRUE
"De Forrest & Palmer",,"De Forrest & Palmer","","New York","NY",93.13,71,"1861-03-22; Loan of Feb 1861",TRUE
"De Launey, Clark & Co",,"De Launey, Clark & Co","","New York","NY",93.13,72,"1861-03-22; Loan of Feb 1861",TRUE
"E. Sweet","E Sweet ",,"","New York","NY",93.13,73,"1861-03-22; Loan of Feb 1861",FALSE
"E.C. Ely","EC Ely ",,"","New York","NY",93.13,74,"1861-03-22; Loan of Feb 1861",FALSE
"E.S. Hubbard","E S Hubbard ",,"","Middletown","CT",93.13,75,"1861-03-22; Loan of Feb 1861",FALSE
"Eaton Loan and Trust Company",,"Eaton Loan and Trust Company","","Waterbury","CT",93.13,76,"1861-03-22; Loan of Feb 1861",TRUE
"Ezra White","Ezra White ",,"","New York","NY",93.13,77,"1861-03-22; Loan of Feb 1861",FALSE
"F. Marquon, president",,"F Marquon, president","","New York","NY",93.13,78,"1861-03-22; Loan of Feb 1861",TRUE
"F.T. Walker & Bro",,"F T Walker & Bro","","New York","NY",93.13,79,"1861-03-22; Loan of Feb 1861",TRUE
"Frank Vincent","Frank Vincent ",,"","New York","NY",93.13,80,"1861-03-22; Loan of Feb 1861",FALSE
"Franklin Savings Institution",,"Franklin Savings Institution","","Greenfield","",93.13,81,"1861-03-22; Loan of Feb 1861",TRUE
"George & Samuel Brown",,"George & Samuel Brown","","New York","NY",93.13,82,"1861-03-22; Loan of Feb 1861",TRUE
"George M. Ives","George M Ives ",,"","Stafford Springs","CT",93.13,83,"1861-03-22; Loan of Feb 1861",FALSE
"George Opdyke","George Opdyke ",,"","New York","NY",93.13,84,"1861-03-22; Loan of Feb 1861",FALSE
"Grant & Son",,"Grant & Son","","New York","NY",93.13,85,"1861-03-22; Loan of Feb 1861",TRUE
"H. Staples","H Staples ",,"","Saugatuck","MI",93.13,86,"1861-03-22; Loan of Feb 1861",FALSE
"H.K. Skelding","H K Skelding ",,"","New York","NY",93.13,87,"1861-03-22; Loan of Feb 1861",FALSE
"Home Insurance Company",,"Home Insurance Company","","New York","NY",93.13,88,"1861-03-22; Loan of Feb 1861",TRUE
"J. Peirpont Morgan, for others",,"J Peirpont Morgan","others","New York","NY",93.13,89,"1861-03-22; Loan of Feb 1861",TRUE
"J.D. Vermilye","J D Vermilye ",,"","New York","NY",93.13,90,"1861-03-22; Loan of Feb 1861",FALSE
"J.H. Watkinson","J H Watkinson ",,"","Middletown","CT",93.13,91,"1861-03-22; Loan of Feb 1861",FALSE
"J.N. Phelps","J N Phelps ",,"","New York","NY",93.13,92,"1861-03-22; Loan of Feb 1861",FALSE
"Jerome Fitzhugh & Co",,"Jerome Fitzhugh & Co","","New York","NY",93.13,93,"1861-03-22; Loan of Feb 1861",TRUE
"John W. Leeds","John W Leeds ",,"","Stamford","CT",93.13,94,"1861-03-22; Loan of Feb 1861",FALSE
"Joseph Lawrence","Joseph Lawrence ",,"","New York","NY",93.13,95,"1861-03-22; Loan of Feb 1861",FALSE
"Ketchum Sons","Ketchum Sons ",,"","New York","NY",93.13,96,"1861-03-22; Loan of Feb 1861",FALSE
"L.D. Van Sands","LD Van Sands ",,"","Middletown","CT",93.13,97,"1861-03-22; Loan of Feb 1861",FALSE
"L.W. Jerome","L W Jerome ",,"","New York","NY",93.13,98,"1861-03-22; Loan of Feb 1861",FALSE
"M.M. Freeman & Co",,"M M Freeman & Co","","New York","NY",93.13,99,"1861-03-22; Loan of Feb 1861",TRUE
"Mason Thompson","Mason Thompson ",,"","New York","NY",93.13,100,"1861-03-22; Loan of Feb 1861",FALSE
"Meigs & Greenleaf",,"Meigs & Greenleaf","","New York","NY",93.13,101,"1861-03-22; Loan of Feb 1861",TRUE
"Messenger & Wright",,"Messenger & Wright","","New York","NY",93.13,102,"1861-03-22; Loan of Feb 1861",TRUE
"Nash Moseman","Nash Moseman ",,"","New York","NY",93.13,103,"1861-03-22; Loan of Feb 1861",FALSE
"P & F Jaudon",,"P & F Jaudon","","New York","NY",93.13,104,"1861-03-22; Loan of Feb 1861",TRUE
"P.C. Calhoun","PC Calhoun ",,"","Bridgeport","CT",93.13,105,"1861-03-22; Loan of Feb 1861",FALSE
"Robert Buel & Son",,"Robert Buel & Son","","Hartford","CT",93.13,106,"1861-03-22; Loan of Feb 1861",TRUE
"Shoe and Leather Bank",,"Shoe and Leather Bank","","New York","NY",93.13,107,"1861-03-22; Loan of Feb 1861",TRUE
"St. Nicholas Bank",,"St Nicholas Bank","","New York","NY",93.13,108,"1861-03-22; Loan of Feb 1861",TRUE
"Terry Brothers",,"Terry Brothers","","New York","NY",93.13,109,"1861-03-22; Loan of Feb 1861",TRUE
"Theodore De Hone","Theodore De Hone ",,"","New York","NY",93.13,110,"1861-03-22; Loan of Feb 1861",FALSE
"Underhill & Haven",,"Underhill & Haven","","New York","NY",93.13,111,"1861-03-22; Loan of Feb 1861",TRUE
"Ward, Campell & Co",,"Ward, Campbell & Co","","New York","NY",93.13,112,"1861-03-22; Loan of Feb 1861",TRUE
"William Barton & Son",,"William Barton & Son","","New York","NY",93.13,113,"1861-03-22; Loan of Feb 1861",TRUE
"Winslow, Lanier & Co",,"Winslow, Lanier & Co","","New York","NY",93.13,114,"1861-03-22; Loan of Feb 1861",TRUE
"C.G. Clark","C G Clark ",,"","New York","NY",93.13,115,"1861-03-22; Loan of Feb 1861",FALSE
"City Savings Bank",,"City Savings Bank","","Bridgeport","CT",93.13,116,"1861-03-22; Loan of Feb 1861",TRUE
"Continental Insurance Company",,"Continental Insurance Company","","New York","NY",93.13,117,"1861-03-22; Loan of Feb 1861",TRUE
"H. Alexander, Jr. ",,,"","Springfield","MA",93.13,118,"1861-03-22; Loan of Feb 1861",FALSE
"H.U. Case","H U Case ",,"","Springfield","MA",93.13,119,"1861-03-22; Loan of Feb 1861",FALSE
"John Mortimer, Jr. ",,,"","New York","NY",93.13,120,"1861-03-22; Loan of Feb 1861",FALSE
"John P. Coffin","John P Coffin ",,"","New York","NY",93.13,121,"1861-03-22; Loan of Feb 1861",FALSE
"Middletown Savings Bank",,"Middletown Savings Bank","","Middletown","CT",93.13,122,"1861-03-22; Loan of Feb 1861",TRUE
"Robert M. Mason","Robert M Mason ",,"","Boston","MA",93.13,123,"1861-03-22; Loan of Feb 1861",FALSE
"S.B. Chittenden","SB Chittenden ",,"","New York","NY",93.13,124,"1861-03-22; Loan of Feb 1861",FALSE
"G.W. Rierson","G W Rierson ",,"","New York","NY",93.11,125,"1861-03-22; Loan of Feb 1861",FALSE
"E.A. Benedict","EA Benedict ",,"","New York","NY",93.1,126,"1861-03-22; Loan of Feb 1861",FALSE
"Northwestern Bank of Pennsylvania",,"Northwestern Bank of Pennsylvania","","New York","NY",93.1,127,"1861-03-22; Loan of Feb 1861",TRUE
"Bliss, Williams & Co.",,"Bliss, Williams & Co","","New York","NY",93.0833333333,128,"1861-03-22; Loan of Feb 1861",TRUE
"S.S. Richards","S S Richards ",,"","New York","NY",93.07,129,"1861-03-22; Loan of Feb 1861",FALSE
"R.R. Graves & Co",,"R R Graves & Co","","New York","NY",93.0566666667,130,"1861-03-22; Loan of Feb 1861",TRUE
"Clark, Dodge & Co",,"Clark, Dodge & Co","","New York","NY",93.0531060606,131,"1861-03-22; Loan of Feb 1861",TRUE
"Clarkson Brothers",,"Clarkson Brothers","","New York","NY",93.0530666667,132,"1861-03-22; Loan of Feb 1861",TRUE
"Robert Somerville","Robert Somerville ",,"","New York","NY",93.0434782609,133,"1861-03-22; Loan of Feb 1861",FALSE
"Otis Daniell","Otis Daniell ",,"","Boston","MA",93.0376923077,134,"1861-03-22; Loan of Feb 1861",FALSE
"George P. Bissell & Co",,"George P Bissell & Co","","New York","NY",93.01,135,"1861-03-22; Loan of Feb 1861",TRUE
"R.R. Robinson & Co",,"R R Robinson & Co","","Wilmington","DE",93.01,136,"1861-03-22; Loan of Feb 1861",TRUE
"A.T. Lowe","A T Lowe ",,"","Boston","MA",93,137,"1861-03-22; Loan of Feb 1861",FALSE
"Aaron Morrell, Jr. ",,,"","Salisbury","MA",93,138,"1861-03-22; Loan of Feb 1861",FALSE
"Brothers McKim",,"Brothers McKim","","New York","NY",93,139,"1861-03-22; Loan of Feb 1861",TRUE
"F. H. Tows","F H Tows ",,"","New York","NY",93,140,"1861-03-22; Loan of Feb 1861",FALSE
"Harris & Co",,"Harris & Co","","Philadelphia","PA",93,141,"1861-03-22; Loan of Feb 1861",TRUE
"Howe, Mather & Co",,"Howe, Mather & Co","","New York","NY",93,142,"1861-03-22; Loan of Feb 1861",TRUE
"Merchants' Insurance Company",,"Merchants' Insurance Company","","New York","NY",93,143,"1861-03-22; Loan of Feb 1861",TRUE
